#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA27BA
#Date Time: 2019-10-15 21:59:30.758
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -850 mV Attenuation: 1 X
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: DC
#Offset: 1 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.00512,3.617966521019492,0.2044303662152606
-0.00511875,3.617966521019492,0.2047675258615282
-0.0051175,3.617966521019492,0.2047675258615282
-0.00511625,3.617966521019492,0.2047675258615282
-0.005115,3.617966521019492,0.2044303662152606
-0.00511375,3.617966521019492,0.2051046855077957
-0.0051125,3.617966521019492,0.2054418451540633
-0.00511125,3.617966521019492,0.2047675258615285
-0.00511,3.617966521019492,0.2044303662152606
-0.00510875,3.617966521019492,0.2047675258615284
-0.0051075,3.617966521019492,0.2051046855077957
-0.00510625,3.617966521019492,0.2044303662152606
-0.005105,3.617966521019492,0.2044303662152606
-0.00510375,3.617966521019492,0.2054418451540633
-0.0051025,3.617966521019492,0.2047675258615282
-0.00510125,3.617966521019492,0.2044303662152606
-0.0051,3.617966521019492,0.204767525861528
-0.00509875,3.617966521019492,0.2047675258615282
-0.0050975,3.617966521019492,0.2044303662152608
-0.00509625,3.617966521019492,0.2047675258615282
-0.005095,3.617966521019492,0.2044303662152609
-0.00509375,3.617966521019492,0.2051046855077957
-0.0050925,3.617966521019492,0.2054418451540633
-0.00509125,3.617966521019492,0.2051046855077959
-0.00509,3.617966521019492,0.2044303662152606
-0.00508875,3.617966521019492,0.2054418451540628
-0.0050875,3.617966521019492,0.2054418451540633
-0.00508625,3.617966521019492,0.2051046855077956
-0.005085,3.617966521019492,0.2047675258615282
-0.00508375,3.617966521019492,0.2047675258615282
-0.0050825,3.617966521019492,0.2047675258615282
-0.00508125,3.617966521019492,0.2051046855077957
-0.00508,3.617966521019492,0.2044303662152609
-0.00507875,3.617966521019492,0.2040932065689931
-0.0050775,3.617966521019492,0.2047675258615279
-0.00507625,3.617966521019492,0.2047675258615282
-0.005075,3.617966521019492,0.2051046855077957
-0.00507375,3.617966521019492,0.2051046855077957
-0.0050725,3.617966521019492,0.2047675258615282
-0.00507125,3.617966521019492,0.2047675258615282
-0.00507,3.617966521019492,0.2047675258615282
-0.00506875,3.617966521019492,0.2047675258615282
-0.0050675,3.617966521019492,0.2051046855077957
-0.00506625,3.617966521019492,0.2051046855077956
-0.005065,3.617966521019492,0.2047675258615282
-0.00506375,3.617966521019492,0.2047675258615282
-0.0050625,3.617966521019492,0.2047675258615282
-0.00506125,3.617966521019492,0.2047675258615282
-0.00506,3.617966521019492,0.2047675258615282
-0.00505875,3.617966521019492,0.2047675258615282
-0.0050575,3.617966521019492,0.2051046855077956
-0.00505625,3.617966521019492,0.2047675258615282
-0.005055,3.617966521019492,0.2044303662152608
-0.00505375,3.617966521019492,0.2047675258615282
-0.0050525,3.617966521019492,0.2051046855077954
-0.00505125,3.617966521019492,0.2044303662152606
-0.00505,3.617966521019492,0.2047675258615282
-0.00504875,3.617966521019492,0.2047675258615282
-0.0050475,3.617966521019492,0.2051046855077957
-0.00504625,3.617966521019492,0.2047675258615284
-0.005045,3.617966521019492,0.2047675258615282
-0.00504375,3.617966521019492,0.2047675258615279
-0.0050425,3.617966521019492,0.2040932065689931
-0.00504125,3.617966521019492,0.2044303662152606
-0.00504,3.617966521019492,0.2044303662152606
-0.00503875,3.617966521019492,0.2044303662152606
-0.0050375,3.617966521019492,0.2044303662152606
-0.00503625,3.617966521019492,0.2044303662152606
-0.005035,3.617966521019492,0.2051046855077954
-0.00503375,3.617966521019492,0.2054418451540633
-0.0050325,3.617966521019492,0.2051046855077956
-0.00503125,3.617966521019492,0.2047675258615282
-0.00503,3.617966521019492,0.2051046855077957
-0.00502875,3.617966521019492,0.2051046855077957
-0.0050275,3.617966521019492,0.2057790048003308
-0.00502625,3.617966521019492,0.205104685507796
-0.005025,3.617966521019492,0.2047675258615282
-0.00502375,3.617966521019492,0.2047675258615282
-0.0050225,3.617966521019492,0.2047675258615282
-0.00502125,3.617966521019492,0.2047675258615282
-0.00502,3.617966521019492,0.2047675258615282
-0.00501875,3.617966521019492,0.2047675258615282
-0.0050175,3.617966521019492,0.2051046855077957
-0.00501625,3.617966521019492,0.2047675258615282
-0.005015,3.617966521019492,0.2051046855077956
-0.00501375,3.617966521019492,0.2047675258615282
-0.0050125,3.617966521019492,0.2044303662152608
-0.00501125,3.617966521019492,0.2047675258615282
-0.00501,3.617966521019492,0.2051046855077956
-0.00500875,3.617966521019492,0.2047675258615282
-0.0050075,3.617966521019492,0.2051046855077957
-0.00500625,3.617966521019492,0.2051046855077957
-0.005005,3.617966521019492,0.2047675258615282
-0.00500375,3.617966521019492,0.2051046855077956
-0.0050025,3.617966521019492,0.2051046855077957
-0.00500125,3.617966521019492,0.205104685507796
-0.005,3.617966521019492,0.2057790048003308
-0.00499875,3.617966521019492,0.2044303662152606
-0.0049975,3.617966521019492,0.2047675258615282
-0.00499625,3.617966521019492,0.2051046855077957
-0.004995,3.617966521019492,0.2057790048003305
-0.00499375,3.617966521019492,0.2051046855077957
-0.0049925,3.617966521019492,0.2051046855077957
-0.00499125,3.617966521019492,0.2047675258615282
-0.00499,3.617966521019492,0.205441845154063
